Hall Type: Auditorium, Hall: HALL 1, Price: RM 600
Hall Type: Banquet Hall, Hall: HALL 1, Price: RM 200
Hall Type: Banquet Hall, Hall: HALL 1, Price: RM 200

Hall Type: Auditorium, Hall: HALL 2, Price: RM 600
Hall Type: Auditorium, Hall: HALL 1, Price: RM 600
Hall Type: Auditorium, Hall: HALL 3, Price: RM 600
Hall Type: Banquet Hall, Hall: HALL 1, Price: RM 200
Hall Type: Auditorium, Hall: HALL 1, Price: RM 600
Hall Type: Auditorium, Hall: HALL 2, Price: RM 600
Hall Type: Auditorium, Hall: HALL 2, Price: RM 1200
Hall Type: Meeting Room, Hall: HALL 1, Price: RM 100
Hall Type: Meeting Room, Hall: HALL 1, Price: RM 100
Hall Type: Banquet Hall, Hall: HALL 2, Price: RM 400
Hall Type: Meeting Room, Hall: HALL 2, Price: RM 100
Hall Type: Meeting Room, Hall: HALL 2, Price: RM 150
Hall Type: Meeting Room, Hall: HALL 3, Price: RM 100
Hall Type: Meeting Room, Hall: HALL 2, Price: RM 150
Hall Type: Banquet Hall, Hall: HALL 1, Price: RM 200
Hall Type: Auditorium, Hall: HALL 2, Price: RM 600
